index,symbol,company
1,ANGJ , Anglogold Ashanti Ltd
2,APNJ , Aspen Pharmacare Holdings Ltd
3,ARIJ , African Rainbow Minerals Ltd
4,BGAJ , Barclays Africa Group Ltd
5,BILJ , BHP Billiton PLC
6,BTIJ , British American Tobacco PLC
7,CCOJ , Capital & Counties Properties PLC
8,CFRJ , Compagnie Financiere Richemont SA DRC
9,DSYJ , Discovery Holdings Ltd
10,EXXJ , Exxaro Resources Ltd
11,FSRJ , Firstrand Ltd
12,GRTJ , Growthpoint Properties Ltd
13,IMPJ , Impala Platinum Holdings Ltd
14,INPJ , Investec PLC
15,IPLJ , Imperial Holdings Ltd
16,ITUJ , Intu Properties PLC
17,KIOJ , Kumba Iron Ore Ltd
18,LHCJ , Life Healthcare
19,MNDJ , Mondi Ltd
20,MTNJ , MTN Group Ltd
21,NEDJ , Nedbank Group Ltd
22,NPNJn , Naspers Ltd
23,OMLJ , Old Mutual PLC
24,REIJ , Reinet
25,REMJ , Remgro Ltd
26,RMHJ , RMB Holdings Ltd
27,SBKJ , Standard Bank Group Ltd
28,SHPJ , Shoprite Holdings Ltd
29,SLMJ , Sanlam Ltd
30,SNHJ , Steinhoff International Holdings Ltd
31,SOLJ , Sasol Ltd
32,TBSJ , Tiger Brands Ltd
33,VODJ , Vodacom Group Ltd
34,WHLJ , Woolworths Holdings Ltd
